Title,Adress,Living Area,Rooms,Status,Price
Van Ostadestraat 74 3+4,1072 TB Amsterdam,105 m²,3 rooms,Available in consultation,"€ 2,950 p/mo."
Van Leijenberghlaan 34,1082 GM Amsterdam,204 m²,3 rooms,Available in consultation,"€ 4,350 p/mo."
Badhuiskade 175,1031 KV Amsterdam,131 m²,3 rooms,Available in consultation,"€ 3,300 p/mo."
Stadionkade 130 3+4,1076 BS Amsterdam,150 m²,4 rooms,Available in consultation,"€ 3,200 p/mo."
Badhuiskade 231,1031 KV Amsterdam,78 m²,3 rooms,Available immediately,"€ 2,275 p/mo."
Van Leijenberghlaan 34,1082 GM Amsterdam,204 m²,3 rooms,Available in consultation,"€ 4,350 p/mo."
Gustav Mahlerplein 257,1082 MS Amsterdam,175 m²,4 rooms,Available in consultation,"€ 5,000 p/mo."
Grasweg 148,1031 HX Amsterdam,69 m²,3 rooms,Available in consultation,"€ 1,550 p/mo."
Grasweg 122,1031 HX Amsterdam,90 m²,2 rooms,Available in consultation,"€ 1,747 p/mo."
Korte Ouderkerkerdijk 1 L2,1096 AC Amsterdam,156 m²,3 rooms,Available in consultation,"€ 4,750 p/mo."
Pietersbergweg 33 A,1105 BM Amsterdam,90 m²,3 rooms,Available in consultation,"€ 1,535 p/mo."
Willem Parelstraat 340 *,1018 KZ Amsterdam,84 m²,3 rooms,Available in consultation,"€ 1,850 p/mo."
Willem Parelstraat 378 *,1018 KZ Amsterdam,80 m²,3 rooms,Available in consultation,"€ 1,850 p/mo."
Haringbuisdijk 797,1086 VA Amsterdam,60 m²,2 rooms,Available in consultation,€ 950 p/mo.
Hellingstraat 76,1033 WW Amsterdam,90 m²,3 rooms,Available on 6/24/2022,"€ 2,550 p/mo."
IJplein 307,1021 LK Amsterdam,49 m²,2 rooms,Available in consultation,"€ 1,800 p/mo."
Willem Parelstraat 382,1018 KZ Amsterdam,80 m²,3 rooms,Available in consultation,"€ 1,850 p/mo."
Willem Parelstraat 316,1018 KZ Amsterdam,78 m²,3 rooms,Available in consultation,"€ 1,650 p/mo."
Willem Parelstraat 412,1018 KZ Amsterdam,79 m²,3 rooms,Available in consultation,"€ 1,875 p/mo."
Willem Parelstraat 348,1018 KZ Amsterdam,84 m²,3 rooms,Available in consultation,"€ 1,850 p/mo."
Willem Parelstraat 368,1018 KZ Amsterdam,74 m²,3 rooms,Available in consultation,"€ 1,700 p/mo."
Willem Parelstraat 324,1018 KZ Amsterdam,82 m²,3 rooms,Available in consultation,"€ 1,800 p/mo."
Grasweg 168,1031 HX Amsterdam,62 m²,3 rooms,Available in consultation,"€ 1,550 p/mo."
Plantage Muidergracht 99 B4,1018 TN Amsterdam,81 m²,3 rooms,Available in consultation,"€ 1,535 p/mo."
Plantage Muidergracht 99 B1,1018 TN Amsterdam,55 m²,2 rooms,Available in consultation,"€ 1,205 p/mo."
Plantage Middenlaan 54 C12,1018 DH Amsterdam,82 m²,3 rooms,Available in consultation,"€ 1,495 p/mo."
Plantage Muidergracht 99 E2,1018 TN Amsterdam,68 m²,2 rooms,Available in consultation,"€ 1,405 p/mo."
Eerste Egelantiersdwarsstraat 7 I,1015 RW Amsterdam,46 m²,2 rooms,Available immediately,"€ 2,175 p/mo."
Eerste Egelantiersdwarsstraat 7 II,1015 RW Amsterdam,46 m²,2 rooms,Available immediately,"€ 2,175 p/mo."
Govert Flinckstraat 191 1,1073 BV Amsterdam,83 m²,4 rooms,Available in consultation,"€ 2,650 p/mo."
J.J. Cremerplein 46 H,1054 TL Amsterdam,96 m²,3 rooms,Available in consultation,"€ 2,700 p/mo."
Sausalitolaan 92,1031 KE Amsterdam,67 m²,2 rooms,Available in consultation,"€ 1,850 p/mo."
